Date,Rate,High (est),Low (est)
2000-03-31,1875.73,0.0,0.0
2000-04-03,1877.54,1899.9,1855.4
2000-04-04,1887.48,0.0,0.0
2000-04-05,1900.93,1924.7,1877.5
2000-04-06,1909.06,0.0,0.0
2000-04-07,1912.54,1936.4,1888.9
2000-04-10,1918.41,0.0,0.0
2000-04-11,1916.76,0.0,0.0
2000-04-12,1908.64,0.0,0.0
2000-04-13,1901.27,0.0,0.0
2000-04-14,1909.51,1932.1,1887.2
2000-04-17,1909.74,0.0,0.0
2000-04-18,1898.85,0.0,0.0
2000-04-19,1882.23,1905.6,1859.1
2000-04-20,1872.78,1894.0,1851.8
2000-04-21,1870.84,0.0,0.0
2000-04-24,1866.43,1888.8,1844.4
2000-04-25,1845.35,0.0,0.0
2000-04-26,1843.13,0.0,0.0
2000-04-27,1833.46,1855.3,1811.9
2000-04-28,1828.2,1849.7,1807.0
2000-05-01,1835.65,0.0,0.0
2000-05-02,1828.84,1851.4,1806.6
2000-05-03,1812.27,0.0,0.0
2000-05-04,1807.58,1827.7,1787.6
2000-05-05,1825.47,1847.1,1804.1
2000-05-08,1838.99,0.0,0.0
2000-05-09,1844.44,0.0,0.0
2000-05-10,1841.28,0.0,0.0
2000-05-11,1838.08,1860.1,1816.4
2000-05-12,1861.11,0.0,0.0
2000-05-15,1866.83,0.0,0.0
2000-05-16,1850.78,1871.5,1830.3
2000-05-17,1841.1,1862.8,1819.6
2000-05-18,1839.79,1862.5,1817.3
2000-05-19,1869.18,0.0,0.0
2000-05-22,1894.75,1918.1,1871.7
2000-05-23,1909.18,1931.2,1887.4
2000-05-24,1928.65,0.0,0.0
2000-05-25,1931.69,1954.9,1908.7
2000-05-26,1952.1,1974.7,1929.8
2000-05-29,1943.64,1966.3,1921.3
2000-05-30,1939.35,0.0,0.0
2000-05-31,1961.36,1984.6,1938.4
2000-06-01,1964.51,1988.3,1941.0
2000-06-02,1989.25,2012.2,1966.5
2000-06-05,2011.37,0.0,0.0
2000-06-06,2022.97,0.0,0.0
2000-06-07,2042.25,0.0,0.0
2000-06-08,2040.38,2064.6,2016.4
2000-06-09,2018.99,2043.2,1995.1
2000-06-12,2014.22,0.0,0.0
2000-06-13,2024.75,0.0,0.0
2000-06-14,2026.03,0.0,0.0
2000-06-15,2020.39,2042.8,1998.2
2000-06-16,2030.86,0.0,0.0
2000-06-19,2031.21,0.0,0.0
2000-06-20,2032.6,0.0,0.0
2000-06-21,2024.42,2046.7,2002.3
2000-06-22,2001.63,2025.8,1977.7
2000-06-23,1994.32,2018.2,1970.7
2000-06-26,1995.71,0.0,0.0
2000-06-27,2013.91,2039.0,1989.1
2000-06-28,2018.64,2040.9,1996.7
2000-06-29,2030.65,0.0,0.0
2000-06-30,2050.06,2074.2,2026.2
2000-07-03,2055.44,0.0,0.0
2000-07-04,2056.88,0.0,0.0
2000-07-05,2069.75,2095.1,2044.7
2000-07-06,2068.42,2092.6,2044.5
2000-07-07,2061.84,2087.4,2036.6
2000-07-10,2075.42,2101.3,2049.8
2000-07-11,2080.92,2104.7,2057.4
2000-07-12,2056.86,0.0,0.0
2000-07-13,2034.09,2057.5,2010.9
2000-07-14,2020.97,2044.4,1997.9
2000-07-17,2012.25,0.0,0.0
2000-07-18,1998.66,2023.0,1974.6
2000-07-19,1991.7,2016.2,1967.5
2000-07-20,2002.74,0.0,0.0
2000-07-21,2011.0,2035.8,1986.5
2000-07-24,2006.21,2028.3,1984.3
2000-07-25,2017.29,0.0,0.0
2000-07-26,2039.58,2063.0,2016.5
2000-07-27,2037.21,0.0,0.0
2000-07-28,2020.54,0.0,0.0
2000-07-31,2015.31,2039.3,1991.6
2000-08-01,2002.17,0.0,0.0
2000-08-02,1991.83,2016.3,1967.6
2000-08-03,1983.29,0.0,0.0
2000-08-04,1978.15,0.0,0.0
2000-08-07,1981.15,2004.9,1957.7
2000-08-08,1969.07,1993.5,1944.9
2000-08-09,1961.2,0.0,0.0
2000-08-10,1973.1,0.0,0.0
2000-08-11,1974.98,1997.3,1953.0
2000-08-14,1975.05,0.0,0.0
2000-08-15,1989.47,2011.9,1967.3
2000-08-16,1999.79,2022.6,1977.2
2000-08-17,2003.49,2027.3,1980.0
2000-08-18,1989.63,2013.6,1965.9
2000-08-21,1974.72,1997.0,1952.7
2000-08-22,1967.92,1991.9,1944.3
2000-08-23,1976.49,1999.8,1953.5
2000-08-24,1988.22,2012.7,1964.1
2000-08-25,1990.42,0.0,0.0
2000-08-28,1988.23,0.0,0.0
2000-08-29,1977.17,2000.7,1953.9
2000-08-30,1974.87,0.0,0.0
2000-08-31,1971.89,1994.1,1949.9
2000-09-01,1983.21,0.0,0.0
2000-09-04,1990.76,0.0,0.0
2000-09-05,1979.86,2002.1,1957.9
2000-09-06,1943.03,1965.4,1921.0
2000-09-07,1924.01,1947.1,1901.2
2000-09-08,1917.61,0.0,0.0
2000-09-11,1902.59,1924.2,1881.2
2000-09-12,1901.73,1924.2,1879.5
2000-09-13,1899.07,1920.3,1878.1
2000-09-14,1908.01,1931.6,1884.8
2000-09-15,1899.53,0.0,0.0
2000-09-18,1889.5,1911.7,1867.5
2000-09-19,1885.65,0.0,0.0
2000-09-20,1885.56,1909.0,1862.4
2000-09-21,1904.41,1927.9,1881.3
2000-09-22,1940.76,0.0,0.0
2000-09-25,1950.89,0.0,0.0
2000-09-26,1954.79,0.0,0.0
2000-09-27,1958.46,1982.5,1934.7
2000-09-28,1949.22,1973.0,1925.8
2000-09-29,1949.22,0.0,0.0
2000-10-02,1942.69,0.0,0.0
2000-10-03,1941.37,1963.0,1919.9
2000-10-04,1924.13,1946.9,1901.6
2000-10-05,1918.69,1941.2,1896.5
2000-10-06,1907.4,1928.6,1886.4
2000-10-09,1897.8,1920.8,1875.1
2000-10-10,1897.56,1918.7,1876.7
2000-10-11,1892.97,1914.7,1871.5
2000-10-12,1886.99,0.0,0.0
2000-10-13,1871.62,0.0,0.0
2000-10-16,1860.66,1883.0,1838.6
2000-10-17,1859.99,1880.9,1839.3
2000-10-18,1830.3,0.0,0.0
2000-10-19,1813.52,1835.3,1792.0
2000-10-20,1817.54,0.0,0.0
2000-10-23,1806.94,0.0,0.0
2000-10-24,1805.29,1825.3,1785.5
2000-10-25,1799.18,0.0,0.0
2000-10-26,1790.69,0.0,0.0
2000-10-27,1806.09,0.0,0.0
2000-10-30,1815.04,1835.4,1794.9
2000-10-31,1813.62,1835.4,1792.1
2000-11-01,1829.36,0.0,0.0
2000-11-02,1836.75,0.0,0.0
2000-11-03,1843.9,1866.6,1821.4
2000-11-06,1841.48,1864.2,1819.0
2000-11-07,1835.12,1856.5,1814.0
2000-11-08,1822.38,0.0,0.0
2000-11-09,1831.14,1853.8,1808.8
2000-11-10,1832.81,1853.7,1812.1
2000-11-13,1828.23,1850.5,1806.2
2000-11-14,1825.39,0.0,0.0
2000-11-15,1823.96,1844.6,1803.5
2000-11-16,1814.17,1836.1,1792.5
2000-11-17,1803.57,0.0,0.0
2000-11-20,1805.21,0.0,0.0
2000-11-21,1800.4,1821.4,1779.6
2000-11-22,1800.53,1822.6,1778.7
2000-11-23,1797.06,0.0,0.0
2000-11-24,1796.85,1817.4,1776.5
2000-11-27,1827.32,1848.8,1806.0
2000-11-28,1854.37,1875.6,1833.4
2000-11-29,1863.4,0.0,0.0
2000-11-30,1879.2,0.0,0.0
2000-12-01,1903.22,0.0,0.0
2000-12-04,1931.97,0.0,0.0
2000-12-05,1925.44,1948.6,1902.5
2000-12-06,1930.18,0.0,0.0
2000-12-07,1938.4,1960.1,1917.0
2000-12-08,1925.49,0.0,0.0
2000-12-11,1912.75,0.0,0.0
2000-12-12,1918.37,0.0,0.0
2000-12-13,1919.74,0.0,0.0
2000-12-14,1934.11,0.0,0.0
2000-12-15,1947.27,0.0,0.0
2000-12-18,1952.26,0.0,0.0
2000-12-19,1958.27,1982.1,1934.7
2000-12-20,1978.61,2003.2,1954.3
2000-12-21,1999.62,2022.1,1977.4
2000-12-22,2019.36,0.0,0.0
2000-12-25,2029.18,0.0,0.0
2000-12-26,2044.87,2068.8,2021.2
2000-12-27,2064.86,0.0,0.0
2000-12-28,2076.3,2101.0,2051.9
2000-12-29,2095.96,2120.5,2071.7
2001-01-01,2106.17,2131.8,2080.9
2001-01-02,2105.66,2131.8,2079.9
2001-01-03,2083.22,2106.8,2059.9
2001-01-04,2112.04,2137.1,2087.2
2001-01-05,2143.64,0.0,0.0
2001-01-08,2137.56,2161.4,2114.0
2001-01-09,2116.39,2139.8,2093.2
2001-01-10,2100.3,0.0,0.0
2001-01-11,2127.69,2154.2,2101.5
2001-01-12,2144.45,2170.2,2119.0
2001-01-15,2130.67,2154.7,2107.0
2001-01-16,2113.79,0.0,0.0
2001-01-17,2100.57,0.0,0.0
2001-01-18,2116.16,0.0,0.0
2001-01-19,2106.2,2131.0,2081.7
2001-01-22,2102.98,2128.9,2077.4
2001-01-23,2114.87,2139.6,2090.5
2001-01-24,2092.84,2118.8,2067.2
2001-01-25,2078.96,2103.5,2054.7
2001-01-26,2074.03,0.0,0.0
2001-01-29,2062.17,2086.1,2038.5
2001-01-30,2068.96,0.0,0.0
2001-01-31,2090.32,0.0,0.0
2001-02-01,2105.45,0.0,0.0
2001-02-02,2101.05,2124.7,2077.7
2001-02-05,2098.06,2122.2,2074.2
2001-02-06,2087.42,2112.5,2062.7
2001-02-07,2083.6,2109.0,2058.5
2001-02-08,2071.99,0.0,0.0
2001-02-09,2066.2,0.0,0.0
2001-02-12,2077.17,2102.7,2052.0
2001-02-13,2068.47,2093.7,2043.5
2001-02-14,2059.01,0.0,0.0
2001-02-15,2038.89,2061.6,2016.5
2001-02-16,2042.49,2067.3,2017.9
2001-02-19,2064.89,2090.0,2040.0
2001-02-20,2061.55,0.0,0.0
2001-02-21,2049.71,2075.1,2024.7
2001-02-22,2045.09,0.0,0.0
2001-02-23,2062.72,0.0,0.0
2001-02-26,2064.86,2089.1,2040.9
2001-02-27,2068.49,2091.4,2045.8
2001-02-28,2084.3,2107.7,2061.2
2001-03-01,2100.27,2124.8,2076.0
2001-03-02,2109.42,2133.9,2085.2
2001-03-05,2104.4,2130.4,2078.7
2001-03-06,2109.0,2133.5,2084.8
2001-03-07,2108.16,0.0,0.0
2001-03-08,2107.13,0.0,0.0
2001-03-09,2113.28,2138.7,2088.2
2001-03-12,2117.71,2144.1,2091.6
2001-03-13,2097.78,0.0,0.0
2001-03-14,2080.36,2103.5,2057.5
2001-03-15,2063.79,2088.6,2039.3
2001-03-16,2050.09,0.0,0.0
2001-03-19,2050.14,2075.4,2025.2
2001-03-20,2064.18,0.0,0.0
2001-03-21,2059.69,0.0,0.0
2001-03-22,2042.43,2065.5,2019.6
2001-03-23,2041.65,2064.4,2019.1
2001-03-26,2051.34,0.0,0.0
2001-03-27,2056.71,2081.5,2032.2
2001-03-28,2050.57,0.0,0.0
2001-03-29,2040.23,2065.1,2015.7
2001-03-30,2033.16,0.0,0.0
2001-04-02,2029.26,2052.3,2006.5
2001-04-03,2056.95,0.0,0.0
2001-04-04,2083.18,2107.1,2059.5
2001-04-05,2078.06,2102.7,2053.7
2001-04-06,2084.29,2109.4,2059.5
2001-04-09,2078.55,2101.6,2055.7
2001-04-10,2059.7,0.0,0.0
2001-04-11,2053.38,2076.7,2030.3
2001-04-12,2060.94,2085.1,2037.1
2001-04-13,2059.56,2084.1,2035.3
2001-04-16,2059.0,0.0,0.0
2001-04-17,2048.68,0.0,0.0
2001-04-18,2049.84,2073.0,2026.9
2001-04-19,2075.59,0.0,0.0
2001-04-20,2098.3,0.0,0.0
2001-04-23,2102.21,2127.5,2077.2
2001-04-24,2095.44,0.0,0.0
2001-04-25,2097.38,0.0,0.0
2001-04-26,2116.52,2143.0,2090.4
2001-04-27,2101.48,0.0,0.0
2001-04-30,2081.79,0.0,0.0
2001-05-01,2086.6,2111.4,2062.0
2001-05-02,2094.76,2120.3,2069.5
2001-05-03,2094.97,0.0,0.0
2001-05-04,2101.57,0.0,0.0
2001-05-07,2102.66,2126.6,2079.0
2001-05-08,2091.5,2116.9,2066.4
2001-05-09,2086.46,2110.0,2063.2
2001-05-10,2085.09,2108.0,2062.4
2001-05-11,2079.39,2103.3,2055.8
2001-05-14,2077.65,0.0,0.0
2001-05-15,2084.56,2108.9,2060.5
2001-05-16,2097.75,0.0,0.0
2001-05-17,2097.72,2122.9,2072.8
2001-05-18,2063.96,2088.5,2039.7
2001-05-21,2044.37,2067.7,2021.3
2001-05-22,2016.76,2039.6,1994.2
2001-05-23,1980.73,2002.7,1959.0
2001-05-24,1981.01,0.0,0.0
2001-05-25,2004.07,0.0,0.0
2001-05-28,2013.05,2035.8,1990.6
2001-05-29,1997.15,2019.5,1975.0
2001-05-30,1990.86,0.0,0.0
2001-05-31,1974.62,1996.9,1952.6
2001-06-01,1960.07,1982.7,1937.7
2001-06-04,1948.71,1970.7,1926.9
2001-06-05,1959.19,1982.3,1936.3
2001-06-06,1963.42,1987.4,1939.7
2001-06-07,1957.47,1979.6,1935.6
2001-06-08,1958.78,1981.9,1935.9
2001-06-11,1956.01,0.0,0.0
2001-06-12,1959.45,0.0,0.0
2001-06-13,1966.55,1990.0,1943.4
2001-06-14,1974.75,0.0,0.0
2001-06-15,1985.19,2008.4,1962.2
2001-06-18,1988.42,2011.9,1965.2
2001-06-19,1972.84,1996.6,1949.3
2001-06-20,1965.63,1988.9,1942.6
2001-06-21,1966.71,1991.0,1942.7
2001-06-22,1967.8,1990.5,1945.3
2001-06-25,1971.96,0.0,0.0
2001-06-26,1984.04,0.0,0.0
2001-06-27,1987.33,0.0,0.0
2001-06-28,1959.43,1982.1,1937.0
2001-06-29,1948.77,0.0,0.0
2001-07-02,1950.43,1973.6,1927.5
2001-07-03,1954.86,0.0,0.0
2001-07-04,1953.94,0.0,0.0
2001-07-05,1937.61,1961.1,1914.4
2001-07-06,1945.07,1968.5,1921.9
2001-07-09,1955.72,1978.0,1933.7
2001-07-10,1967.71,1992.3,1943.4
2001-07-11,1987.01,2009.8,1964.5
2001-07-12,1991.59,2015.6,1967.9
2001-07-13,1978.74,0.0,0.0
2001-07-16,1968.43,0.0,0.0
2001-07-17,1972.93,0.0,0.0
2001-07-18,1996.07,0.0,0.0
2001-07-19,2007.54,2029.8,1985.5
2001-07-20,2008.1,0.0,0.0
2001-07-23,2002.97,2027.5,1978.8
2001-07-24,2011.2,0.0,0.0
2001-07-25,2021.61,2044.7,1998.8
2001-07-26,2022.96,2047.2,1999.1
2001-07-27,2021.31,0.0,0.0
2001-07-30,2011.61,2033.9,1989.6
2001-07-31,2005.85,0.0,0.0
2001-08-01,2018.66,0.0,0.0
2001-08-02,2029.56,0.0,0.0
2001-08-03,2029.46,2052.5,2006.7
2001-08-06,2024.47,0.0,0.0
2001-08-07,2014.83,0.0,0.0
2001-08-08,2014.95,2037.2,1992.9
2001-08-09,2033.99,0.0,0.0
2001-08-10,2044.3,0.0,0.0
2001-08-13,2047.02,0.0,0.0
2001-08-14,2060.72,2086.2,2035.6
2001-08-15,2083.18,2106.5,2060.2
2001-08-16,2089.56,0.0,0.0
2001-08-17,2093.57,2117.4,2070.0
2001-08-20,2092.15,2117.3,2067.3
2001-08-21,2092.58,0.0,0.0
2001-08-22,2089.15,0.0,0.0
2001-08-23,2082.38,2106.3,2058.8
2001-08-24,2082.23,0.0,0.0
2001-08-27,2084.59,2107.7,2061.8
2001-08-28,2091.53,2115.4,2067.9
2001-08-29,2094.45,2118.6,2070.5
2001-08-30,2102.2,0.0,0.0
2001-08-31,2101.32,2125.6,2077.3
2001-09-03,2095.93,2120.2,2071.9
2001-09-04,2065.5,2090.8,2040.5
2001-09-05,2050.45,2073.6,2027.6
2001-09-06,2069.67,2095.3,2044.3
2001-09-07,2096.39,2121.7,2071.3
2001-09-10,2096.59,2122.8,2070.7
2001-09-11,2124.36,0.0,0.0
2001-09-12,2132.86,2157.5,2108.5
2001-09-13,2125.5,0.0,0.0
2001-09-14,2142.08,0.0,0.0
2001-09-17,2160.15,2185.3,2135.3
2001-09-18,2167.88,2192.1,2143.9
2001-09-19,2171.4,0.0,0.0
2001-09-20,2173.7,2199.8,2147.9
2001-09-21,2154.47,0.0,0.0
2001-09-24,2145.44,2171.8,2119.4
2001-09-25,2147.84,0.0,0.0
2001-09-26,2149.93,2175.1,2125.0
2001-09-27,2141.21,2166.6,2116.1
2001-09-28,2126.6,0.0,0.0
2001-10-01,2133.26,2156.8,2109.9
2001-10-02,2143.49,0.0,0.0
2001-10-03,2137.75,2161.3,2114.5
2001-10-04,2138.22,2163.1,2113.6
2001-10-05,2144.15,2168.6,2120.0
2001-10-08,2142.17,0.0,0.0
2001-10-09,2134.35,2160.7,2108.3
2001-10-10,2123.83,2148.8,2099.2
2001-10-11,2101.0,2125.5,2076.8
2001-10-12,2098.26,2121.7,2075.1
2001-10-15,2102.14,2127.0,2077.6
2001-10-16,2101.1,0.0,0.0
2001-10-17,2084.09,0.0,0.0
2001-10-18,2080.18,2103.6,2057.1
2001-10-19,2082.58,0.0,0.0
2001-10-22,2070.02,2093.5,2046.8
2001-10-23,2061.94,0.0,0.0
2001-10-24,2068.23,2091.4,2045.3
2001-10-25,2072.02,2095.4,2048.9
2001-10-26,2068.78,2092.5,2045.4
2001-10-29,2083.05,2107.9,2058.5
2001-10-30,2090.63,0.0,0.0
2001-10-31,2082.2,2106.7,2058.0
2001-11-01,2081.85,2104.8,2059.2
2001-11-02,2085.78,2111.1,2060.8
2001-11-05,2079.42,2105.2,2053.9
2001-11-06,2071.51,0.0,0.0
2001-11-07,2071.03,0.0,0.0
2001-11-08,2065.39,0.0,0.0
2001-11-09,2060.17,2083.7,2037.0
2001-11-12,2059.09,0.0,0.0
2001-11-13,2045.47,2068.9,2022.3
2001-11-14,2031.83,2055.5,2008.4
2001-11-15,2033.38,2057.4,2009.6
2001-11-16,2042.39,0.0,0.0
2001-11-19,2037.05,2060.9,2013.5
2001-11-20,2037.97,2060.9,2015.3
2001-11-21,2041.61,0.0,0.0
2001-11-22,2036.65,2061.5,2012.1
2001-11-23,2034.5,0.0,0.0
2001-11-26,2036.47,2060.6,2012.6
2001-11-27,2040.63,2065.5,2016.0
2001-11-28,2049.17,0.0,0.0
2001-11-29,2052.02,2075.1,2029.1
2001-11-30,2062.06,0.0,0.0
2001-12-03,2057.54,2080.6,2034.7
2001-12-04,2053.88,2077.9,2030.1
2001-12-05,2057.23,0.0,0.0
2001-12-06,2066.24,2091.0,2041.8
2001-12-07,2062.13,2085.4,2039.2
2001-12-10,2059.86,0.0,0.0
2001-12-11,2059.09,2084.1,2034.4
2001-12-12,2068.34,0.0,0.0
2001-12-13,2066.63,2089.5,2044.0
2001-12-14,2083.78,0.0,0.0
2001-12-17,2092.39,2115.9,2069.2
2001-12-18,2082.69,2107.4,2058.3
2001-12-19,2078.19,2102.6,2054.0
2001-12-20,2078.94,2103.7,2054.5
2001-12-21,2057.21,2082.0,2032.7
2001-12-24,2030.86,0.0,0.0
2001-12-25,2024.04,0.0,0.0
2001-12-26,2025.63,2048.3,2003.2
2001-12-27,2031.74,0.0,0.0
2001-12-28,2032.89,0.0,0.0
2001-12-31,2039.58,2062.3,2017.1
2002-01-01,2031.38,0.0,0.0
2002-01-02,2042.99,0.0,0.0
2002-01-03,2054.49,0.0,0.0
2002-01-04,2053.48,0.0,0.0
2002-01-07,2054.98,2079.1,2031.2
2002-01-08,2055.01,0.0,0.0
2002-01-09,2057.55,2080.9,2034.4
2002-01-10,2062.25,0.0,0.0
2002-01-11,2059.73,2084.6,2035.2
2002-01-14,2053.89,2077.6,2030.5
2002-01-15,2034.16,2058.6,2010.0
2002-01-16,2016.46,2039.4,1993.8
2002-01-17,2003.88,0.0,0.0
2002-01-18,2005.12,2030.0,1980.5
2002-01-21,2004.45,2029.3,1979.9
2002-01-22,2001.01,0.0,0.0
2002-01-23,1981.41,2003.3,1959.8
2002-01-24,1969.95,0.0,0.0
2002-01-25,1956.17,0.0,0.0
2002-01-28,1945.94,1969.1,1923.1
2002-01-29,1954.47,0.0,0.0
2002-01-30,1955.17,1977.5,1933.1
2002-01-31,1949.82,1972.7,1927.2
2002-02-01,1949.28,1971.4,1927.5
2002-02-04,1964.34,0.0,0.0
2002-02-05,1968.01,1991.2,1945.1
2002-02-06,1963.12,1987.7,1938.9
2002-02-07,1965.2,0.0,0.0
2002-02-08,1975.59,0.0,0.0
2002-02-11,1987.7,2010.3,1965.4
2002-02-12,2003.69,0.0,0.0
2002-02-13,2009.67,2032.5,1987.1
2002-02-14,2020.32,2045.5,1995.4
2002-02-15,2018.4,2040.8,1996.3
2002-02-18,1999.38,2021.5,1977.5
2002-02-19,1998.04,0.0,0.0
2002-02-20,1992.24,2014.3,1970.4
2002-02-21,1991.03,2013.1,1969.2
2002-02-22,2011.68,0.0,0.0
2002-02-25,2015.04,0.0,0.0
2002-02-26,2001.14,2025.8,1976.8
2002-02-27,2000.95,2024.2,1978.0
2002-02-28,2006.0,2028.7,1983.5
2002-03-01,1997.09,2021.2,1973.2
2002-03-04,1996.26,2020.0,1972.8
2002-03-05,1998.37,2023.3,1973.7
2002-03-06,2006.57,2029.9,1983.5
2002-03-07,2019.12,0.0,0.0
2002-03-08,2006.02,2029.5,1982.8
2002-03-11,1996.22,2020.3,1972.4
2002-03-12,1988.5,2012.6,1964.7
